"Element","Item","Average","R_origin","R_recipients"
"Area harvested","Wheat","4718","Mediterranean_SouthandEast","Africa_Indian_Ocean_Islands"
"Area harvested","Lettuce","317","Mediterranean_SouthandEast","Africa_Indian_Ocean_Islands"
"Area harvested","Carrots & turnips","2857.33333333334","Mediterranean_SouthandEast","Africa_Indian_Ocean_Islands"
"Area harvested","Grapes","2510.66666666667","Mediterranean_SouthandEast","Africa_Indian_Ocean_Islands"
"Area harvested","NA","NA","Pacific_Region_ausnz","Africa_Indian_Ocean_Islands"
"Area harvested","Taro","37295","Pacific_Region_tropical","Africa_Indian_Ocean_Islands"
"Area harvested","Coconuts","33500","Pacific_Region_tropical","Africa_Indian_Ocean_Islands"
"Area harvested","Cowpeas","510458.333333333","Africa_Central","Africa_Southern"
"Area harvested","Palm oil","27766.6666666667","Africa_Central","Africa_Southern"
"Area harvested","Coffee","245158","Africa_Central","Africa_Southern"
"Area harvested","Sorghum","2166071.66666667","Africa_Central","Africa_Southern"
"Area harvested","Rice","1351614.66666667","Africa_Central","Africa_Southern"
"Area harvested","Cowpeas","510458.333333333","Africa_East","Africa_Southern"
"Area harvested","Sesame","457979","Africa_East","Africa_Southern"
"Area harvested","Coffee","245158","Africa_East","Africa_Southern"
"Area harvested","Sorghum","2166071.66666667","Africa_East","Africa_Southern"
"Area harvested","Castor_oil","216296.666666667","Africa_East","Africa_Southern"
"Area harvested","NA","NA","Africa_Indian_Ocean_Islands","Africa_Southern"
"Area harvested","Watermelons","8201.66666666667","Africa_Southern","Africa_Southern"
"Area harvested","Cowpeas","510458.333333333","Africa_Southern","Africa_Southern"
"Area harvested","Sorghum","2166071.66666667","Africa_Southern","Africa_Southern"
"Area harvested","Melons","1929.33333333333","Africa_Southern","Africa_Southern"
"Area harvested","Millets","1270299.33333333","Africa_Southern","Africa_Southern"
"Area harvested","Cowpeas","510458.333333333","Africa_West","Africa_Southern"
"Area harvested","Palm oil","27766.6666666667","Africa_West","Africa_Southern"
"Area harvested","Coffee","245158","Africa_West","Africa_Southern"
"Area harvested","Sorghum","2166071.66666667","Africa_West","Africa_Southern"
"Area harvested","Melons","1929.33333333333","Africa_West","Africa_Southern"
"Area harvested","Chillies & peppers","29268","America_Caribbean","Africa_Southern"
"Area harvested","Vanilla","111.666666666667","America_Caribbean","Africa_Southern"
"Area harvested","Cottonseed oil","1097944.33333333","America_Caribbean","Africa_Southern"
"Area harvested","Sweet potatoes","988311.333333334","America_Central_and_Mexico","Africa_Southern"
"Area harvested","Papayas","5758.66666666667","America_Central_and_Mexico","Africa_Southern"
"Area harvested","Mangoes_mangosteens_guavas","48091.6666666667","America_Central_and_Mexico","Africa_Southern"
"Area harvested","Cassava","3544802.33333333","America_Central_and_Mexico","Africa_Southern"
"Area harvested","Chillies & peppers","29268","America_Central_and_Mexico","Africa_Southern"
"Area harvested","Strawberries","613.666666666666","America_North","Africa_Southern"
"Area harvested","Raspberries","50.3333333333333","America_North","Africa_Southern"
"Area harvested","Sunflower","1242040","America_North","Africa_Southern"
"Area harvested","Grapes","122597","America_North","Africa_Southern"
"Area harvested","Pumpkins & gourds","12054.3333333333","America_North","Africa_Southern"
"Area harvested","Tomatoes","76705.6666666666","America_South_andean","Africa_Southern"
"Area harvested","Potatoes","598359.333333334","America_South_andean","Africa_Southern"
"Area harvested","Beans","2705802.33333333","America_South_andean","Africa_Southern"
"Area harvested","Lupins","11325.3333333333","America_South_andean","Africa_Southern"
"Area harvested","Strawberries","613.666666666666","America_South_temperate","Africa_Southern"
"Area harvested","Sweet potatoes","988311.333333334","America_South_tropical","Africa_Southern"
"Area harvested","Papayas","5758.66666666667","America_South_tropical","Africa_Southern"
"Area harvested","Pineapples","55242.6666666667","America_South_tropical","Africa_Southern"
"Area harvested","Mangoes_mangosteens_guavas","48091.6666666667","America_South_tropical","Africa_Southern"
"Area harvested","Cashew","357029","America_South_tropical","Africa_Southern"
"Area harvested","Onions","82378.0000000001","Asia_Central","Africa_Southern"
"Area harvested","Almonds","800","Asia_Central","Africa_Southern"
"Area harvested","Asparagus","80.3333333333333","Asia_Central","Africa_Southern"
"Area harvested","Garlic","791.666666666667","Asia_Central","Africa_Southern"
"Area harvested","Wheat","784293","Asia_Central","Africa_Southern"
"Area harvested","Peaches & nectarines","9770","Asia_East","Africa_Southern"
"Area harvested","Buckwheat","9523.33333333333","Asia_East","Africa_Southern"
"Area harvested","Tangerines_mandarins","7336.33333333333","Asia_East","Africa_Southern"
"Area harvested","Plums","7254","Asia_East","Africa_Southern"
"Area harvested","Oranges","69629.3333333333","Asia_East","Africa_Southern"
"Area harvested","Bananas & plantains","989331.666666667","Asia_South","Africa_Southern"
"Area harvested","Coconuts","752808.666666667","Asia_South","Africa_Southern"
"Area harvested","Figs","662","Asia_South","Africa_Southern"
"Area harvested","Tea","64418.3333333334","Asia_South","Africa_Southern"
"Area harvested","Sugarcane","507116","Asia_South","Africa_Southern"
"Area harvested","Bananas & plantains","989331.666666667","Asia_Southeast","Africa_Southern"
"Area harvested","Cloves","7737.66666666667","Asia_Southeast","Africa_Southern"
"Area harvested","Coconuts","752808.666666667","Asia_Southeast","Africa_Southern"
"Area harvested","Plums","7254","Asia_Southeast","Africa_Southern"
"Area harvested","Tea","64418.3333333334","Asia_Southeast","Africa_Southern"
"Area harvested","Onions","82378.0000000001","Asia_West","Africa_Southern"
"Area harvested","Almonds","800","Asia_West","Africa_Southern"
"Area harvested","Asparagus","80.3333333333333","Asia_West","Africa_Southern"
"Area harvested","Wheat","784293","Asia_West","Africa_Southern"
"Area harvested","Plums","7254","Asia_West","Africa_Southern"
"Area harvested","Asparagus","80.3333333333333","Europe_Eastern_north","Africa_Southern"
"Area harvested","Raspberries","50.3333333333333","Europe_Eastern_north","Africa_Southern"
"Area harvested","Chicory_roots","4533.33333333333","Europe_Eastern_north","Africa_Southern"
"Area harvested","Hops","403","Europe_Eastern_north","Africa_Southern"
"Area harvested","Oats","26358.6666666667","Europe_Eastern_north","Africa_Southern"
"Area harvested","Asparagus","80.3333333333333","Europe_Eastern_south","Africa_Southern"
"Area harvested","Plums","7254","Europe_Eastern_south","Africa_Southern"
"Area harvested","Carrots & turnips","5504","Europe_Eastern_south","Africa_Southern"
"Area harvested","Raspberries","50.3333333333333","Europe_Eastern_south","Africa_Southern"
"Area harvested","Chicory_roots","4533.33333333333","Europe_Eastern_south","Africa_Southern"
"Area harvested","Asparagus","80.3333333333333","Europe_Western_north","Africa_Southern"
"Area harvested","Raspberries","50.3333333333333","Europe_Western_north","Africa_Southern"
"Area harvested","Chicory_roots","4533.33333333333","Europe_Western_north","Africa_Southern"
"Area harvested","Hops","403","Europe_Western_north","Africa_Southern"
"Area harvested","Oats","26358.6666666667","Europe_Western_north","Africa_Southern"
"Area harvested","Asparagus","80.3333333333333","Europe_Western_south","Africa_Southern"
"Area harvested","Figs","662","Europe_Western_south","Africa_Southern"
"Area harvested","Carrots & turnips","5504","Europe_Western_south","Africa_Southern"
"Area harvested","Raspberries","50.3333333333333","Europe_Western_south","Africa_Southern"
"Area harvested","Chicory_roots","4533.33333333333","Europe_Western_south","Africa_Southern"
"Area harvested","Asparagus","80.3333333333333","Mediterranean_SouthandEast","Africa_Southern"
"Area harvested","Wheat","784293","Mediterranean_SouthandEast","Africa_Southern"
"Area harvested","Figs","662","Mediterranean_SouthandEast","Africa_Southern"
"Area harvested","Carrots & turnips","5504","Mediterranean_SouthandEast","Africa_Southern"
"Area harvested","Raspberries","50.3333333333333","Mediterranean_SouthandEast","Africa_Southern"
"Area harvested","NA","NA","Pacific_Region_ausnz","Africa_Southern"
"Area harvested","Coconuts","752808.666666667","Pacific_Region_tropical","Africa_Southern"
"Area harvested","Melons","1929.33333333333","Pacific_Region_tropical","Africa_Southern"
"Area harvested","Cowpeas","9099169.00000001","Africa_Central","Africa_West"
"Area harvested","Rice","5792894.66666667","Africa_Central","Africa_West"
